ts,uid,id.orig_h,id.orig_p,id.resp_h,id.resp_p,proto,service,duration,orig_bytes,resp_bytes,conn_state,local_orig,local_resp,missed_bytes,history,orig_pkts,orig_ip_bytes,resp_pkts,resp_ip_bytes,community_id,orig_mac_oui
1759309352.185029,C0gTpr18zCug8eIdvi,10.0.0.1,36210,74.125.68.94,443,udp,"ssl,quic",0.1612319946289062,3300.0,4602.0,SF,True,False,0,Dd,8,3524,12,4938,1:7Yww1xfd1LNvm00W7ZcwNw7Hfhw=,Dell Inc.
1759307409.271265,CCjTWH3ggLZUwCLXSk,10.0.0.1,46474,8.8.8.8,53,udp,dns,5.988910913467407,47.0,154.0,SF,True,False,0,Dd,1,75,2,210,1:AOZmFbSsY86MkqulqBC+pqp6pMA=,Dell Inc.
1759309398.110149,CJSnqp3Tv2c43l35of,10.0.0.1,44507,8.8.8.8,53,udp,dns,6.057101011276245,34.0,161.0,SF,True,False,0,Dd,1,62,2,217,1:sl4DVF837HI7HXt4jNMlLGCJVPw=,Dell Inc.
1759309395.985282,C31Qya3xq9aMxa86u5,10.0.0.1,54874,8.8.8.8,53,udp,dns,6.004889965057373,36.0,129.0,SF,True,False,0,Dd,1,64,2,185,1:06ErLpEcXWOi39lh8NE2/8in3Qo=,Dell Inc.
1759307420.051482,CSgRM821vu4ekXLEe,10.0.0.1,54441,8.8.8.8,53,udp,dns,0.0075609683990478,50.0,157.0,SF,True,False,0,Dd,1,78,1,185,1:VJRneYoGpD/FHPAOKBc/xP8Lusc=,Dell Inc.
1759307420.051479,CKlf4d2WLXlJDnjHi,10.0.0.1,58290,8.8.8.8,53,udp,dns,0.0037508010864257,50.0,66.0,SF,True,False,0,Dd,1,78,1,94,1:Zuvf4VV7Utui+dam0Qk61quNyzY=,Dell Inc.
1759309395.889992,CJdgFt4QjGXHsU7pwh,10.0.0.1,35262,8.8.8.8,53,udp,dns,5.99938702583313,42.0,141.0,SF,True,False,0,Dd,1,70,2,197,1:qCfr+V4sEc35fuFkwU57g4C3XsU=,Dell Inc.
1759309331.913803,CXJcXh2BtXkERAGPnj,10.0.0.1,57417,74.125.200.94,443,udp,"ssl,quic",20.310653924942017,4133.0,4917.0,SF,True,False,0,Dd,13,4497,15,5337,1:KQJ4/xZHjheoWRoVvVCyf6o3fHc=,Dell Inc.
1759307288.315426,CGx4773oFK4q4QWk9f,10.0.0.1,51437,74.125.24.190,443,udp,"ssl,quic",90.1926248073578,16292.0,7080.0,SF,True,False,0,Dd,28,17076,33,8004,1:XF6s3oE+2QB/D1jcszwbpVtYz40=,Dell Inc.
1759309373.216515,C0FDR441J8iuhdsyIg,10.0.0.1,46816,64.233.170.95,443,udp,"ssl,quic",0.9700849056243896,3686.0,4599.0,SF,True,False,0,Dd,16,4134,19,5131,1:WsvCyiFcB+k/AFjnSrVucgJ6+jc=,Dell Inc.
1759307444.843509,Cgilh11U5OoqnQ4Ill,10.0.0.2,48390,10.0.0.1,80,tcp,http,0.0055320262908935,1372.0,276.0,SF,True,True,0,ShADadFf,7,1744,5,544,1:pXSSH5V9PnwN3OoesoFjYnkaEPk=,"LCFC(Hefei) Electronics Technology co., ltd"
1759307415.260403,CykDbX2LwqaALBAChd,10.0.0.1,3,8.8.8.8,3,icmp,,,,,OTH,True,False,0,,1,103,0,0,1:850Knb54aqvx7oT9JdFabWvMgOg=,Dell Inc.
1759307172.678021,CJDJYC2zWnfpFfEZre,10.0.0.1,44648,185.125.188.59,443,tcp,ssl,9.05852508544922,18356.0,53592.0,SF,True,False,0,ShADdaTtFfr,49,25764,53,56963,1:IvVeu+xbyRpSOiRpbJQle/WC80c=,Dell Inc.
1759307423.08482,CIoMN246ZSHcNtWUYf,10.0.0.1,35852,239.255.255.250,1900,udp,,3.0037639141082764,688.0,0.0,S0,True,False,0,D,4,800,0,0,1:YuXe95i+jATqPYYsMhRiCBf7hNg=,Dell Inc.
1759309398.116282,CWAr1p4xErCaqviQk3,10.0.0.1,46820,74.125.68.94,443,udp,"ssl,quic",0.1541199684143066,3594.0,4568.0,SF,True,False,0,Dd,8,3818,11,4876,1:iNX0wSJ08WRBwmar5stwrzeWo3I=,Dell Inc.
1759307479.720992,CSk0Xg2KcaIpOxQtOl,10.0.0.1,43778,8.8.8.8,53,udp,dns,0.0070588588714599,47.0,239.0,SF,True,False,0,Dd,1,75,1,267,1:ymLwFF/6KmHy0mKX7ydkhCZBTd8=,Dell Inc.
1759307480.06585,CQBiqP3yoyG1lXWd4,10.0.0.1,42045,8.8.8.8,53,udp,dns,0.0026969909667968,60.0,60.0,SF,True,False,0,Dd,1,88,1,88,1:OZSoi96GvANd9rAtX+YKVENhwn4=,Dell Inc.
1759307409.277142,Cg7uDQ64EAO30qJ3b,10.0.0.1,46624,13.107.213.73,443,tcp,ssl,90.1149559020996,3404.0,61104.0,SF,True,False,0,ShADadfF,34,5180,54,63920,1:uqCXNxR37Ij3qgEHd6EdI8/TiEo=,Dell Inc.
1759307489.940515,CujJUYbLNp3KbqWG9,10.0.0.1,45889,8.8.8.8,53,udp,dns,5.918200969696045,39.0,135.0,SF,True,False,0,Dd,1,67,2,191,1:DFcCaMqfwuG+27D3zOoSWbAHiEc=,Dell Inc.
1759309396.249435,CpDzlP34So3apFdUqb,10.0.0.1,55820,34.0.245.166,443,tcp,ssl,109.056312084198,1792.0,4806.0,RSTO,True,False,0,ShADadR,19,2788,17,5698,1:FANLLCE+3D0clY1U7LDtLF7LpLs=,Dell Inc.
1759307481.49391,C4wzyk2w6nmsgtFSni,10.0.0.1,58117,172.253.118.94,443,udp,"ssl,quic",0.1274349689483642,4984.0,5896.0,SF,True,False,0,Dd,11,5292,14,6288,1:hBBuj/flmTV1lX2EZQp9yWgZHdw=,Dell Inc.
1759309408.329666,CleTQY3HBFgiDSQZX6,10.0.0.1,57066,74.125.68.93,443,udp,"ssl,quic",43.15751099586487,9413.0,4661.0,SF,True,False,0,Dd,16,9861,21,5249,1:lV+ctXHr56Umrgru/Of8H2Y4kzY=,Dell Inc.
1759307540.07237,C9Yjke1OqAkhGhGKJ,10.0.0.1,46478,20.42.73.25,443,tcp,ssl,1.021108865737915,10054.0,5156.0,SF,True,False,0,ShADdafF,17,10946,13,5840,1:GOanmMRbSvIMgVjX4x1jYsdDs8s=,Dell Inc.
1759309510.674146,CjdNRG1jPZrZMGRBLl,10.0.0.1,36418,8.8.8.8,53,udp,dns,0.0136620998382568,37.0,189.0,SF,True,False,0,Dd,1,65,1,217,1:MtwnmhTIHLGC/SJHqIxomAfbGWE=,Dell Inc.
1759307540.06695,CeynEf1ioY3iS7NDZ4,10.0.0.1,48143,8.8.8.8,53,udp,dns,0.0049738883972167,60.0,60.0,SF,True,False,0,Dd,1,88,1,88,1:nE8S8muKKwv1x53+cjzRtliVEb4=,Dell Inc.
1759309510.674142,CvyhF63y7WEYBOAEVe,10.0.0.1,34951,8.8.8.8,53,udp,dns,0.0107741355895996,37.0,69.0,SF,True,False,0,Dd,1,65,1,97,1:EKABcJ3EmZdM65sJRqfqEq7ae8A=,Dell Inc.
1759307540.057855,CzML2k2iAX4xHiKrG2,10.0.0.1,39308,8.8.8.8,53,udp,dns,0.0085821151733398,50.0,66.0,SF,True,False,0,Dd,1,78,1,94,1:Q4hFd6hCIvbJRD1f06dVZW/SMA0=,Dell Inc.
1759309510.688748,C7VysAPyDc07i2NKj,10.0.0.1,46809,8.8.8.8,53,udp,dns,5.998794078826904,47.0,154.0,SF,True,False,0,Dd,1,75,2,210,1:HjaoNFz1gBi8q2aiyIoU85YnKEM=,Dell Inc.
1759309520.100017,C2qbmf4tf1Ra8jTSOg,10.0.0.1,46880,8.8.8.8,53,udp,dns,0.0071728229522705,50.0,154.0,SF,True,False,0,Dd,1,78,1,182,1:R7dBj7TyAL3RfeTBFXxVY2U/qpc=,Dell Inc.
1759309520.100013,CTMCFh463IrPeeVY4e,10.0.0.1,48006,8.8.8.8,53,udp,dns,0.0053920745849609,50.0,182.0,SF,True,False,0,Dd,1,78,1,210,1:yb7MXmccMlmcAz78ircrwqtTBDQ=,Dell Inc.
1759307408.332781,CvnsIs4VwN4ys6KbTk,10.0.0.1,35112,74.125.24.91,443,udp,"ssl,quic",90.1366410255432,13717.0,6260.0,SF,True,False,0,Dd,23,14361,29,7072,1:Q5ngS0liFiX8dT5qf80qu0uMWcU=,Dell Inc.
1759309537.142775,Cv5qaf41FQBBRoLVH7,10.0.0.1,37445,8.8.8.8,53,udp,dns,0.0124938488006591,38.0,66.0,SF,True,False,0,Dd,1,66,1,94,1:YUMPE9NQFDrO5wm5huw+N2+3Af4=,Dell Inc.
1759309520.108199,COJYFj1Ca9aXjEZ8Xc,10.0.0.1,56481,8.8.8.8,53,udp,dns,6.121508121490479,60.0,190.0,SF,True,False,0,Dd,1,88,2,246,1:s3RrbZWk5C0TOyi7+1GzTpvGOcQ=,Dell Inc.
1759307572.975669,C7aNEA3YlND12UiPhf,10.0.0.1,48118,8.8.8.8,53,udp,dns,6.001127004623413,66.0,33.0,SF,True,False,0,Dd,2,122,1,61,1:QeJ5hM5XZ7iRkwEINJ2tiItLTmU=,Dell Inc.
1759309554.393333,CnaZLQ2jkeg4b3H7hd,10.0.0.2,35104,10.0.0.1,80,tcp,http,0.004655122756958,861.0,81.0,SF,True,True,0,ShADadFf,6,1181,4,297,1:Tnk8o6Or+XMmTgmx0Be9VFD/dBQ=,"LCFC(Hefei) Electronics Technology co., ltd"
1759309561.11114,CajZSZ35gas7onhwcf,10.0.0.1,50368,169.254.169.254,80,tcp,,2.0257740020751958,0.0,0.0,S0,True,True,0,S,3,180,0,0,1:cVCBX+T4UIf+UKx5LiC3uHukuUI=,Dell Inc.
1759309556.900296,ClgKPWH4JKzfAsFqh,10.0.0.1,53216,8.8.8.8,53,udp,dns,0.0136079788208007,29.0,45.0,SF,True,False,0,Dd,1,57,1,73,1:7QpmGdckhmZdnIIk7VOFpN+f8Aw=,Dell Inc.
1759307531.315423,CSIYts1Hf0PngBjd9a,10.0.0.1,34144,74.125.24.91,443,udp,"ssl,quic",7.120872020721436,7619.0,4386.0,SF,True,False,0,Dd,14,8011,15,4806,1:w1+WCJD3TaFqw4caMW1psG09OKI=,Dell Inc.
