ts,uid,id.orig_h,id.orig_p,id.resp_h,id.resp_p,trans_depth,method,host,uri,version,user_agent,request_body_len,response_body_len,status_code,status_msg,tags,resp_fuids,resp_mime_types,orig_fuids,orig_mime_types,referrer,origin,info_code,info_msg,resp_filenames
1759313144.006079,CfvsK11RjUTRdtAJ9b,10.0.0.2,59490,10.0.0.1,80,1,POST,10.0.0.1,/samples.php?z=35u14o4005,1.1,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/100.0.3835.571 Safari/537.36",539,0,202.0,Accepted,[],,,['Fd7pXh22DJKikEQVN4'],['application/x-gzip'],,,,,
1759312609.639784,CE6fvWa8wvgFX8oUc,10.0.0.1,48918,192.168.131.20,8888,1,GET,192.168.131.20:8888,/api/events/subscribe,1.1,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36",0,0,101.0,Switching Protocols,[],,,,,,http://192.168.131.20:8888,101.0,Switching Protocols,
1759312616.492518,CLWhaz16qmjsOgrdPl,10.0.0.1,48924,192.168.131.20,8888,1,GET,192.168.131.20:8888,/api/events/subscribe,1.1,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36",0,0,101.0,Switching Protocols,[],,,,,,http://192.168.131.20:8888,101.0,Switching Protocols,
1759313206.375965,CIvnuE4PEhhuD3dt1d,10.0.0.2,54712,10.0.0.1,80,2,GET,10.0.0.1,/bundles/scripts/scripts/umd/assets/array.js?k=5r6602433,1.1,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/100.0.3835.571 Safari/537.36",0,78,200.0,OK,[],['FRPB7f1chBWB2Yjx83'],['text/plain'],,,,,,,
1759313857.30815,CMFWAn49pwQrrlBey,10.0.0.2,55858,10.0.0.1,80,2,GET,10.0.0.1,/javascript/bundles/assets/bootstrap.min.js?r=7e269q3078,1.1,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/100.0.3835.571 Safari/537.36",0,364,200.0,OK,[],['FR5B0x1JUEYkcGmwOi'],['application/x-gzip'],,,,,,,
1759313857.30585,CMFWAn49pwQrrlBey,10.0.0.2,55858,10.0.0.1,80,1,POST,10.0.0.1,/php/database/api/samples.php?x=16101837,1.1,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/100.0.3835.571 Safari/537.36",134,0,202.0,Accepted,[],,,['FFfrGeYSkJxyKmKog'],['text/plain'],,,,,
1759314009.956,CjAeHk1chj4yRxakDl,10.0.0.2,40326,10.0.0.1,80,2,GET,10.0.0.1,/bundles/js/bundle/bundles/scripts/jscript/javascript/backbone.js?m=7772j3p935,1.1,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/100.0.3835.571 Safari/537.36",0,116,200.0,OK,[],['Fw8B074kUf2DeRwhEe'],['text/plain'],,,,,,,
1759313302.37077,CtdrV32bKXjB5befp2,10.0.0.1,54290,91.189.91.48,80,1,GET,connectivity-check.ubuntu.com.,/,1.1,,0,0,204.0,No Content,[],,,,,,,,,
1759314080.085512,CZYQw12Sl4itgvUr1l,10.0.0.2,47804,10.0.0.1,80,1,POST,10.0.0.1,/oauth2/api.php?c=698521p1k8,1.1,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/100.0.3835.571 Safari/537.36",134,0,202.0,Accepted,[],,,['Fdn4O91iKS2of6HIxk'],['text/plain'],,,,,
1759314156.447585,C8fFI3NqFxoq1uPS9,10.0.0.2,51530,10.0.0.1,80,2,GET,10.0.0.1,/jscript/bundles/bundles/bundle/umd/jquery.min.js?i=59373g1e84,1.1,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/100.0.3835.571 Safari/537.36",0,599,200.0,OK,[],['FtMU933Sj8NitSx4Pa'],['text/plain'],,,,,,,
