ts,uid,id.orig_h,id.orig_p,id.resp_h,id.resp_p,version,cipher,curve,server_name,resumed,established,ssl_history,ja3,ja3s,ja4,community_id,cert_chain_fps,client_cert_chain_fps,sni_matches_cert,validation_status,next_protocol
1759302695.70303,CG7nlG1SUxPpktvVFg,10.0.0.1,33710,172.64.66.1,443,TLSv13,TLS_AES_128_GCM_SHA256,x25519,docker-images-prod.6aa30f8b08e16409b46e0173d6de2f56.r2.cloudflarestorage.com,False,True,CsiI,fe2890151de23c89070fe03e27e6bcf2,eb1d94daa7e0344597e756a1fb6e7054,t13d131000_f57a46bbacb6_e7c285222651,1:a9lwqw7GM2wM5BGrMVILQby5bhs=,,,,,
1759302642.463738,CsqT9n3ZY0EUUJSild,10.0.0.1,49879,107.178.255.183,443,TLSv13,TLS_AES_128_GCM_SHA256,x25519,beacons.gcp.gvt2.com,False,False,Cs,4f519d46146c0c6a14aec9cec6fc7f62,eb1d94daa7e0344597e756a1fb6e7054,q13d0311h3_55b375c5d22e_653d80c3fe9d,,,,,,
1759302694.145405,Cvlqlh4CBjQqn7gL29,10.0.0.1,58150,20.189.173.26,443,TLSv13,TLS_AES_256_GCM_SHA384,secp384r1,mobile.events.data.microsoft.com,False,True,CjiICs,06c7c8851b69f67e31df21d5075e2dfd,46ca3a127f5443353dfb8cc2e16197e5,t13d181200_5d04281c6031_02c8e53ee398,1:tij76kZJXDFbxlAblFEECtpISHg=,,,,,
1759302705.99789,CHRJmKWh80ucUiJP2,10.0.0.1,54190,64.233.170.188,5228,TLSv13,TLS_AES_128_GCM_SHA256,unknown-4588,mtalk.google.com,False,True,CsiI,999795457b85f4e8b4dbd33ccb7c5fba,eb1d94daa7e0344597e756a1fb6e7054,t13d151400_8daaf6152771_0a20fe35d3a5,1:WChIzMX83Azn8QfipIx52xb6W2U=,,,,,
1759302558.411492,Ch4nUl4JsKTkMfKILf,10.0.0.1,48693,172.253.118.136,443,TLSv13,TLS_AES_128_GCM_SHA256,unknown-4588,www.youtube.com,True,False,Cs,2b43139ff8d3a696c90a2d99a10005ad,2b0648ab686ee45e0e7c35fcfb0eea7e,q13d0313h3_55b375c5d22e_226f3f127bbe,,,,,,
1759302705.499549,COXj3LteGQpJVEsh4,10.0.0.1,58594,107.178.255.183,443,TLSv13,TLS_AES_128_GCM_SHA256,x25519,beacons.gcp.gvt2.com,False,True,CsiI,36aac29ae21019fe35d7387ca37abb16,eb1d94daa7e0344597e756a1fb6e7054,t13d1516h2_8daaf6152771_d8a2da3f94cd,1:YZCEXQ0WYRF3IFSpip2bSEkSuZ4=,,,,,
1759302717.452214,CXLWOh1fZBXG9xYKH,10.0.0.1,59762,64.233.170.188,5228,TLSv13,TLS_AES_128_GCM_SHA256,unknown-4588,mtalk.google.com,False,True,CsiI,ca68ba95a72fbcc8660edaa79cae379b,eb1d94daa7e0344597e756a1fb6e7054,t13d151400_8daaf6152771_0a20fe35d3a5,1:FCFxI28JqGQOI/VLezOkQo2iZdE=,,,,,
1759302715.08741,Cn6NB31TO0HBUynWha,10.0.0.1,59872,172.217.194.141,443,TLSv13,TLS_AES_128_GCM_SHA256,unknown-4588,proxy.golang.org,False,True,CsiI,ceb419f4203d3159e7a7cb3aa7efd5bd,eb1d94daa7e0344597e756a1fb6e7054,t13d1311h2_f57a46bbacb6_e7c285222651,1:0zuBVwYB30CzdDwMOM/U07TqPIw=,,,,,
1759304221.231071,CrorbF4vE985zAYtAh,10.0.0.1,52282,20.205.243.168,443,TLSv13,TLS_AES_128_GCM_SHA256,x25519,api.github.com,False,True,CsiI,bea0efa466c6599a274865b3951a9b4d,f4febc55ea12b31ae17cfb7e614afda8,t13d1517h2_8daaf6152771_b6f405a00624,1:oKY7M8QedFDtk1oY1yvrPRH09Lg=,,,,,
1759302715.087414,CAUuu2473mHC4pGFg3,10.0.0.1,59826,172.217.194.141,443,TLSv13,TLS_AES_128_GCM_SHA256,unknown-4588,proxy.golang.org,False,True,CsiI,ceb419f4203d3159e7a7cb3aa7efd5bd,eb1d94daa7e0344597e756a1fb6e7054,t13d1311h2_f57a46bbacb6_e7c285222651,1:YYIPMJI0wyMbJS0Ss+EInUipI2c=,,,,,
1759302663.995705,Cfk9c74pJWTrV8s0Zf,10.0.0.1,38747,74.125.24.94,443,TLSv13,TLS_AES_128_GCM_SHA256,unknown-4588,beacons.gvt2.com,True,False,Cs,b53acfe4a8c1180818342ee020fc7e19,2b0648ab686ee45e0e7c35fcfb0eea7e,q13d0313h3_55b375c5d22e_226f3f127bbe,,,,,,
1759304223.108445,CG15ii34R1HeVaoMj7,10.0.0.1,42450,140.82.112.22,443,TLSv13,TLS_AES_128_GCM_SHA256,x25519,api.individual.githubcopilot.com,False,True,CsiI,f47d80ec38b8b0ff18435edf06fe08a4,f4febc55ea12b31ae17cfb7e614afda8,t13d1517h2_8daaf6152771_b6f405a00624,1:TY38bdrbcVzycKkf6WspEhDFgc8=,,,,,
1759302715.091426,Cxqgjk3K5oNGHqjnZb,10.0.0.1,59954,172.217.194.141,443,TLSv13,TLS_AES_128_GCM_SHA256,unknown-4588,proxy.golang.org,False,True,CsiI,ceb419f4203d3159e7a7cb3aa7efd5bd,eb1d94daa7e0344597e756a1fb6e7054,t13d1311h2_f57a46bbacb6_e7c285222651,1:qbxnp3Q3jnDMURD0UqIRPnbaIes=,,,,,
1759302715.091423,CzO6sp4eq6bDgo9p17,10.0.0.1,59952,172.217.194.141,443,TLSv13,TLS_AES_128_GCM_SHA256,unknown-4588,proxy.golang.org,False,True,CsiI,ceb419f4203d3159e7a7cb3aa7efd5bd,eb1d94daa7e0344597e756a1fb6e7054,t13d1311h2_f57a46bbacb6_e7c285222651,1:rAJzbYEsAoAZlDP/+xN5RCN/aZk=,,,,,
1759304225.225236,Cj9rMJ13T2JOnj4Y79,10.0.0.1,36466,20.189.172.76,443,TLSv13,TLS_AES_256_GCM_SHA384,secp384r1,westus-0.in.applicationinsights.azure.com,False,True,CjiICs,5ba75848253d223678feccc80ac29a5f,46ca3a127f5443353dfb8cc2e16197e5,t13d181100_5d04281c6031_ef7df7f74e48,1:ZBg+VCDGtNaV8HuhUcBHIUvZwPw=,,,,,
